"","lhs","op","rhs","block","group","label","exo","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox","fmi"
"97","MEM_BL","~","Smoking",1,1,"",0,-0.0153412820330304,0.00895503385272853,-1.71314617960445,0.0866856501167399,-0.0328928258647153,0.00221026179865447,-0.0114973774715523,-0.0166699686353317,-0.0114973774715523,0.0425965929600247
"98","MEM_BL","~","Alcohol",1,1,"",0,0.00255243771864205,0.00588067743433397,0.434038041899697,0.664260816345235,-0.00897347825734993,0.014078353694634,0.00191290009926625,0.00424684885379886,0.00191290009926625,0.0596139247021523
"99","MEM_BL","~","Depression",1,1,"",0,-0.0187164040081176,0.0028263152931223,-6.6221925252512,3.5391023445186e-11,-0.0242558801915921,-0.0131769278246432,-0.014026830438818,-0.0642341625316297,-0.014026830438818,0.039597628532032
"100","MEM_BL","~","Age_BL",1,1,"",0,-0.26649700896053,0.0238551490792438,-11.1714669262917,0,-0.313252242001682,-0.219741775919378,-0.199723641118253,-0.108862112455915,-0.199723641118253,0.0431841507916537
"101","MEM_BL","~","Language_BL",1,1,"",0,-0.231702567590125,0.0328808390496745,-7.04673525028003,1.83164594602658e-12,-0.296147827908945,-0.167257307271305,-0.173647278954646,-0.0657969983174312,-0.173647278954646,0.0284879018043476
"102","MEM_DELTA","~","Age_BL",1,1,"",0,-0.270795236114376,0.0251349846477066,-10.7736384131464,0,-0.320058900775848,-0.221531571452904,-0.187519031119241,-0.102209822227507,-0.187519031119241,0.199643341752347
"103","MEM_DELTA","~","Language_FU1",1,1,"",0,-0.0668590175086612,0.0342115347203653,-1.95428290648597,0.0506677692334752,-0.133912393416419,0.000194358399096387,-0.0462982228369524,-0.017602900090993,-0.0462982228369524,0.179269348273833
"104","MEM_BL","~","Material_deprivation",1,1,"c112a",0,-1.88418163320303,0.349968057899284,-5.38386744354043,7.29022002765589e-08,-2.57010642242506,-1.19825684398101,-1.4120819508604,-0.0554498901085109,-1.4120819508604,0.0835160427852997
"105","MEM_BL","~","Social_deprivation",1,1,"c122a",0,0.131142462630606,0.32127290886079,0.408196455454733,0.68312945023434,-0.498540867944962,0.760825793206174,0.0982834675854778,0.00403390244045411,0.0982834675854778,0.0806041481354656
"106","MEM_BL","~","Physical_activity",1,1,"b12a",0,0.0224536355504789,0.0150943228064363,1.48755501246499,0.136868285070243,-0.00713069352115772,0.0520379646221156,0.0168276629669344,0.014892512805169,0.0168276629669344,0.133789718194715
